Size,Quick sort random,Selection sort random,Quick sort reversed, Selection sort reversed
5000,0.4,13.6,0.1,19.6
10000,1,52.4,0.6,86.3
15000,1.9,117.9,0.7,237.9
20000,2.7,208.4,0.8,494.3
25000,3,324.7,1,885
30000,3.9,472.4,1.5,1433.5
35000,4.5,637,1.7,2113.1
40000,5.1,823.9,1.7,2951
45000,5.8,1047.4,1.9,3809.9
50000,6.4,1293.8,2.5,4896.2
55000,7.9,1654.8,2.6,5955.2
60000,8.2,1877.4,2.7,6984.2
65000,9.2,2201.9,3.6,8102.4
70000,9.6,2629.8,3.4,9339.8
75000,10.4,2977.4,4,10466
80000,10.7,3441.1,4,11788.5
85000,12,3812.7,3.8,13037.5
90000,12.1,4350.1,4.5,14393.2
95000,12.4,4849.3,4.4,15766.5
100000,12.9,5293.9,5.2,17102.9
